Distance_(pixels),Gray_Value
0,4.038
1,4.538
2,5.558
3,6.442
4,7.135
5,7.212
6,7.019
7,7.019
8,7.500
9,8.154
10,8.865
11,9.500
12,10.346
13,11.192
14,11.827
15,13.250
16,13.058
17,12.385
18,11.481
19,10.942
20,11.404
21,12.615
22,13.654
23,15.423
24,15.231
25,15.115
26,15.077
27,14.923
28,14.442
29,13.692
30,13.115
31,12.750
32,13.173
33,13.904
34,14.365
35,14.327
36,13.712
37,12.962
38,12.442
39,12.500
40,11.885
41,11.577
42,11.596
43,11.154
44,10.269
45,9.962
46,10.231
47,8.904
48,8.692
49,8.269
50,7.750
51,7.192
52,6.577
53,6.250
54,6.019
55,5.538
56,5.173
57,4.712
58,4.481
59,4.327
60,4.058
61,3.577
62,3.231
63,2.827
64,2.808
65,2.769
66,2.692
67,2.654
68,2.577
69,2.538
70,2.519
71,2.538
72,2.538
73,2.558
74,2.615
75,2.654
76,2.731
77,2.769
78,2.788
79,3.519
80,3.673
81,3.885
82,4.212
83,4.462
84,4.769
85,5.019
86,5.077
87,6.385
88,6.731
89,7.212
90,7.673
91,8.365
92,9.308
93,10.423
94,11.212
95,11.846
96,11.346
97,12.385
98,13.346
99,13.038
100,14.077
101,15.096
102,14.481
103,15.000
104,17.885
105,18.519
106,17.558
107,17.673
108,18.308
109,20.058
110,22.654
111,22.558
112,20.385
113,19.346
114,20.135
115,20.635
116,20.538
117,22.231
118,24.692
119,26.615
120,24.192
121,22.385
122,22.096
123,21.385
124,19.308
125,17.442
126,16.827
127,16.750
128,18.808
129,20.058
130,20.308
131,19.442
132,15.885
133,12.885
134,13.000
135,13.788
136,12.288
137,11.750
138,12.462
139,12.058
140,9.885
141,7.885
142,7.231
143,5.962
144,5.827
145,5.288
146,4.577
147,4.077
148,3.462
149,3.250
150,3.154
151,3.154
152,3.404
153,3.712
154,4.192
155,4.731
156,5.404
157,5.904
158,6.212
159,8.538
160,9.327
161,11.865
162,12.769
163,15.442
164,17.846
165,18.577
166,22.769
167,24.173
168,28.269
169,31.481
170,33.538
171,35.865
172,38.096
173,41.750
174,46.192
175,49.038
176,49.904
177,54.481
178,59.346
179,61.481
180,63.404
181,66.212
182,67.865
183,68.058
184,68.808
185,71.942
186,74.827
187,76.192
188,76.981
189,76.865
190,75.596
191,73.500
192,70.750
193,71.404
194,75.173
195,77.827
196,79.462
197,79.808
198,79.654
199,79.500
200,78.135
201,77.058
202,77.250
203,77.846
204,77.058
205,74.712
206,72.192
207,70.038
208,69.404
209,69.712
210,68.231
211,63.404
212,59.865
213,59.865
214,60.481
215,53.038
216,49.154
217,44.923
218,41.212
219,37.846
220,34.442
221,28.250
222,20.904
223,17.135
224,15.442
225,12.981
226,10.500
227,8.750
228,7.596
229,6.904
230,6.577
231,5.558
232,5.038
233,5.019
234,5.769
235,6.981
236,9.000
237,12.038
238,14.731
239,18.212
240,21.769
241,24.365
242,27.750
243,33.038
244,36.577
245,41.769
246,49.231
247,57.269
248,64.231
249,68.404
250,72.442
251,76.058
252,78.577
253,81.904
254,83.154
255,86.942
256,88.635
257,90.481
258,92.846
