Distance_(pixels),Gray_Value
0,2.961
1,3.078
2,3.294
3,3.490
4,3.745
5,4.020
6,4.157
7,4.294
8,4.980
9,5.059
10,5.275
11,5.667
12,6.078
13,6.549
14,6.980
15,7.216
16,7.647
17,7.784
18,7.980
19,8.196
20,8.412
21,8.725
22,8.941
23,8.961
24,9.510
25,9.706
26,9.941
27,10.196
28,10.353
29,10.451
30,10.510
31,10.529
32,10.647
33,10.706
34,10.843
35,10.882
36,10.882
37,10.863
38,10.706
39,10.627
40,10.431
41,10.216
42,9.961
43,9.686
44,9.412
45,9.255
46,9.235
47,9.157
48,8.137
49,8.000
50,7.706
51,7.157
52,6.804
53,6.275
54,6.000
55,5.863
56,5.353
57,5.157
58,4.804
59,4.118
60,3.804
61,3.353
62,3.196
63,3.078
64,2.569
65,2.569
66,2.569
67,2.569
68,2.569
69,2.569
70,2.569
71,2.569
72,2.725
73,2.725
74,2.745
75,2.882
76,3.216
77,3.627
78,4.098
79,4.373
80,5.039
81,5.431
82,6.157
83,6.980
84,7.686
85,8.176
86,8.490
87,8.647
88,9.686
89,10.627
90,11.490
91,11.647
92,11.451
93,11.686
94,12.490
95,13.392
96,15.431
97,15.608
98,16.294
99,16.824
100,16.275
101,15.412
102,15.431
103,16.118
104,18.412
105,20.294
106,22.412
107,23.490
108,23.000
109,21.941
110,21.059
111,20.824
112,21.765
113,22.549
114,21.353
115,20.431
116,21.471
117,21.333
118,20.000
119,19.706
120,18.314
121,18.176
122,17.431
123,16.490
124,16.118
125,15.882
126,14.725
127,13.373
128,12.000
129,11.588
130,11.216
131,11.039
132,10.804
133,10.431
134,9.804
135,9.275
136,6.765
137,6.510
138,6.000
139,5.373
140,4.804
141,4.353
142,4.000
143,3.882
144,3.588
145,3.471
146,3.275
147,2.922
148,2.804
149,2.608
150,2.608
151,2.647
152,2.490
153,2.490
154,2.569
155,2.706
156,2.961
157,3.294
158,3.569
159,3.784
160,3.961
161,4.059
162,4.569
163,5.608
164,6.510
165,7.216
166,7.294
167,7.098
168,7.098
169,7.588
170,8.255
171,8.980
172,9.627
173,10.490
174,11.353
175,12.000
176,13.431
177,13.235
178,12.549
179,11.627
180,11.078
181,11.549
182,12.784
183,13.843
184,15.647
185,15.451
186,15.333
187,15.294
188,15.137
189,14.647
190,13.882
191,13.294
192,12.941
193,13.373
194,14.118
195,14.588
196,14.549
197,13.922
198,13.157
199,12.627
200,12.686
201,12.059
202,11.745
203,11.765
204,11.314
205,10.412
206,10.098
207,10.373
208,9.020
209,8.804
210,8.373
211,7.843
212,7.275
213,6.647
214,6.314
215,6.078
216,5.588
217,5.216
218,4.745
219,4.510
220,4.353
221,4.078
222,3.588
223,3.235
224,2.824
225,2.804
226,2.765
227,2.686
228,2.647
229,2.569
230,2.529
231,2.510
232,2.529
233,2.529
234,2.549
235,2.608
236,2.647
237,2.725
238,2.765
239,2.784
240,3.529
241,3.686
242,3.902
243,4.235
244,4.490
245,4.804
246,5.059
247,5.118
248,6.431
249,6.784
250,7.275
251,7.745
252,8.451
253,9.412
254,10.549
255,11.353
256,12.000
257,11.490
258,12.549
259,13.529
260,13.216
261,14.275
262,15.314
263,14.686
264,15.196
265,18.137
266,18.784
267,17.804
268,17.922
269,18.569
270,20.353
271,23.000
272,22.902
273,20.686
274,19.627
275,20.431
276,20.922
277,20.824
278,22.529
279,25.039
280,27.059
281,24.588
282,22.745
283,22.451
284,21.725
285,19.608
286,17.706
287,17.078
288,17.000
289,19.098
290,20.373
291,20.627
292,19.745
293,16.118
294,13.059
295,13.176
296,13.980
297,12.451
298,11.902
299,12.627
300,12.216
301,10.000
302,7.961
303,7.294
304,6.000
305,5.863
306,5.314
307,4.588
308,4.078
309,3.451
310,3.235
311,3.137
312,3.157
313,3.412
314,3.725
315,4.196
316,4.745
317,5.412
318,5.922
319,6.235
320,8.569
321,9.373
322,11.961
323,12.882
324,15.608
325,18.059
326,18.804
327,23.078
328,24.510
329,28.686
330,31.961
331,34.039
332,36.412
333,38.667
334,42.392
335,46.922
336,49.843
337,50.725
338,55.353
339,60.294
340,62.431
341,64.373
342,67.196
343,68.882
344,69.118
345,69.882
346,73.059
347,76.020
348,77.431
349,78.275
350,78.216
351,76.941
352,74.804
353,71.980
354,72.627
355,76.451
356,79.118
357,80.765
358,81.098
359,80.922
360,80.843
361,79.451
362,78.333
363,78.529
364,79.137
365,78.314
366,75.922
367,73.353
368,71.275
369,70.627
370,70.961
371,69.451
372,64.549
373,60.941
374,60.941
375,61.569
376,53.980
377,50.020
378,45.706
379,41.922
380,38.490
381,35.020
382,28.706
383,21.216
384,17.353
385,15.627
386,13.118
387,10.588
388,8.804
389,7.627
390,6.922
391,6.588
392,5.529
393,5.000
394,4.980
395,5.745
396,6.980
397,9.039
398,12.137
399,14.902
400,18.431
401,22.059
402,24.706
403,28.157
404,33.529
405,37.137
406,42.431
407,50.039
408,58.216
409,65.314
410,69.549
411,73.667
412,77.373
413,79.941
414,83.353
415,84.647
416,88.451
417,90.196
418,92.078
419,94.490
420,96.725
421,96.765
422,97.549
423,100.451
424,103.882
425,102.667
426,104.216
427,103.980
428,105.490
429,109.941
430,110.706
431,110.333
432,110.608
433,110.549
434,109.176
435,108.216
436,109.196
437,109.549
438,110.000
439,111.529
440,110.490
441,107.078
442,104.922
443,102.392
444,103.059
445,105.157
446,103.216
447,102.588
448,102.549
449,101.353
450,100.686
451,101.490
452,101.353
453,97.118
454,89.529
455,83.098
456,78.137
457,76.098
458,75.137
459,74.725
460,67.078
461,64.686
462,56.882
463,47.333
464,45.745
465,33.843
466,29.353
467,23.941
468,22.255
469,14.098
470,13.490
471,9.784
472,8.176
473,8.314
474,6.824
475,7.471
476,10.451
477,11.373
478,14.098
479,20.157
480,26.431
481,27.196
482,38.275
483,45.431
484,57.510
485,60.059
486,68.490
487,77.706
488,77.804
489,81.647
490,89.765
491,93.843
492,96.118
493,98.216
494,97.471
495,98.098
496,100.980
497,101.000
498,100.627
499,102.412
500,106.922
501,110.059
502,112.431
503,115.176
504,119.569
505,121.667
506,123.667
507,125.843
508,128.039
509,129.863
510,131.039
511,131.137
512,131.333
513,131.549
514,129.706
515,127.980
516,128.745
517,128.765
518,129.255
519,130.373
520,128.510
521,123.980
522,119.882
523,119.078
524,120.529
525,117.294
526,115.392
527,115.843
528,115.020
529,116.549
530,109.314
531,103.627
532,98.235
533,98.451
534,95.765
535,90.824
536,92.294
537,92.647
538,89.804
539,88.765
540,78.235
541,69.608
542,69.000
543,58.137
544,56.235
545,41.922
546,35.667
547,29.000
548,27.353
549,20.471
550,18.784
551,11.392
552,9.275
553,8.490
554,8.275
555,8.549
556,8.706
557,9.549
558,12.667
559,16.176
560,20.000
561,24.353
562,30.196
563,38.941
564,47.882
565,52.431
566,57.784
567,65.627
568,72.725
569,74.471
570,80.784
571,85.353
572,85.353
573,87.725
574,91.510
575,91.569
576,91.529
577,96.510
578,100.843
579,102.902
580,104.275
581,106.235
582,109.020
583,110.745
584,111.039
585,111.000
586,110.824
587,111.353
588,113.294
589,114.882
590,113.941
591,111.725
592,108.667
593,108.412
594,108.490
595,109.961
596,112.784
597,115.059
598,115.843
599,115.471
600,115.490
601,113.059
602,111.667
603,110.333
604,106.451
605,103.294
